Subject,Start Date,All Day Event,Description
Tag 1 · Menstruation,02.12.2025,TRUE,"Tipp: Heute nichts entscheiden. Atmen reicht. | Supplement: Hibiskus"
Tag 2 · Menstruation,03.12.2025,TRUE,"Tipp: Wärme für Bauch & Rücken. | Supplement: Magnesium"
Tag 3 · Menstruation,04.12.2025,TRUE,"Tipp: Schlaf ist Medizin. | Supplement: Frauenmantel oder Ingwer"
Tag 4 · Menstruation,05.12.2025,TRUE,"Tipp: Langsam & warm essen. | Supplement: Spirulina (klein)"
Tag 5 · Menstruation,06.12.2025,TRUE,"Tipp: Spaziergang ohne Ziel. | Supplement: Hibiskus"
Tag 6 · Follikelphase,07.12.2025,TRUE,"Tipp: Frische Luft, neues Denken. | Supplement: Camu Camu"
Tag 7 · Follikelphase,08.12.2025,TRUE,"Tipp: Ideen notieren, noch nicht umsetzen. | Supplement: Zink"
Tag 8 · Follikelphase,09.12.2025,TRUE,"Tipp: Leichte Bewegung. | Supplement: Spirulina"
Tag 9 · Follikelphase,10.12.2025,TRUE,"Tipp: Etwas Neues lernen. | Supplement: Camu Camu"
Tag 10 · Follikelphase,11.12.2025,TRUE,"Tipp: Struktur gibt Freiheit. | Supplement: Omega-3"
Tag 11 · Follikelphase,12.12.2025,TRUE,"Tipp: Klar kommunizieren. | Supplement: Spirulina"
Tag 12 · Follikelphase,13.12.2025,TRUE,"Tipp: Kreativität ausleben. | Supplement: Camu Camu"
Tag 13 · Follikelphase,14.12.2025,TRUE,"Tipp: Weniger planen. | Supplement: Zink"
Tag 14 · Eisprung,15.12.2025,TRUE,"Tipp: Zeig dich. Sag Ja. | Supplement: Camu Camu"
Tag 15 · Eisprung,16.12.2025,TRUE,"Tipp: Genuss ohne Schuld. | Supplement: Omega-3"
Tag 16 · Eisprung,17.12.2025,TRUE,"Tipp: Sozial, nicht überziehen. | Supplement: Hibiskus (klein)"
Tag 17 · Lutealphase,18.12.2025,TRUE,"Tipp: To-dos realistisch kürzen. | Supplement: Vitamin B6"
Tag 18 · Lutealphase,19.12.2025,TRUE,"Tipp: Nein sagen üben. | Supplement: Hibiskus"
Tag 19 · Lutealphase,20.12.2025,TRUE,"Tipp: Erdend essen. | Supplement: Magnesium"
Tag 20 · Lutealphase,21.12.2025,TRUE,"Tipp: Ordnung schafft Ruhe. | Supplement: Ashwagandha (niedrig)"
Tag 21 · Lutealphase,22.12.2025,TRUE,"Tipp: Früher Feierabend. | Supplement: Vitamin B6"
Tag 22 · Lutealphase,23.12.2025,TRUE,"Tipp: Reizarm bleiben. | Supplement: Hibiskus"
Tag 23 · Lutealphase,24.12.2025,TRUE,"Tipp: Nicht alles persönlich nehmen. | Supplement: Magnesium"
Tag 24 · Lutealphase,25.12.2025,TRUE,"Tipp: Sanfte Bewegung. | Supplement: Ashwagandha"
Tag 25 · Lutealphase,26.12.2025,TRUE,"Tipp: Rückzug ist Selbstliebe. | Supplement: Vitamin B6"
Tag 26 · Lutealphase,27.12.2025,TRUE,"Tipp: Mehr Schlaf einplanen. | Supplement: Hibiskus"
Tag 27 · Lutealphase,28.12.2025,TRUE,"Tipp: Reflektieren, nicht bewerten. | Supplement: Magnesium"
Tag 28 · Lutealphase,29.12.2025,TRUE,"Tipp: Bereit fürs Loslassen. | Supplement: Hibiskus"

